tm,Q1,T1,Tsp1
122.79191613197327,2.5781304388155606,44.102,42.0
123.78013300895691,1.5245142944813175,44.102,42.0
124.78398013114929,1.1024969643116407,44.102,42.0
125.77189707756042,3.978999149057996,43.94,42.0
126.77592396736145,5.195495131927517,43.779,42.0
127.76444506645203,3.2402366146564177,43.779,42.0
128.7678689956665,2.8832183806419067,43.779,42.0
129.75640296936035,4.481612905243098,43.683,42.0
130.75981402397156,7.730401086733627,43.457,42.0
131.7483470439911,5.190025341749191,43.457,42.0
132.75176310539246,5.542962346120655,43.425,42.0
133.7402949333191,7.56278988415438,43.296,42.0
134.7437150478363,9.244560332358619,43.135,42.0
135.73222708702087,7.415655715560941,43.135,42.0
136.73503804206848,7.1880176287651345,43.135,42.0
137.7242739200592,10.902953059785512,42.941,42.0
138.72700715065002,11.335310014315494,42.813,42.0
139.7162311077118,9.897951197814926,42.813,42.0
140.71895623207092,10.400629231396069,42.78,42.0
141.70826292037964,15.805919817213521,42.49,42.0
142.71094512939453,14.712994632236384,42.394,42.0
143.700208902359,16.967242272020254,42.232,42.0
144.70290422439575,16.574249893849693,42.168,42.0
145.69216799736023,15.90273100023271,42.168,42.0
146.69486713409424,15.869040309238446,42.168,42.0
147.68562006950378,19.102679982235674,42.007,42.0
148.68681716918945,20.726565099753383,41.846,42.0
149.67693901062012,19.148985878515287,41.846,42.0
150.67872428894043,19.179840865087552,41.846,42.0
151.66890597343445,22.47818654102027,41.685,42.0
152.67067289352417,24.184933513571803,41.523,42.0
153.6608510017395,22.66225386691091,41.523,42.0
154.66368913650513,22.75792462496755,41.523,42.0
155.65205907821655,26.122985351596455,41.362,42.0
156.65563201904297,25.912663729385358,41.298,42.0
157.6440041065216,27.384295900212535,41.201,42.0
158.64765405654907,26.563267392015458,41.201,42.0
159.63518404960632,26.721074684906007,41.201,42.0
160.63961601257324,27.526599306802066,41.169,42.0
162.25762009620667,30.66220615805845,40.976,42.0
163.73691391944885,31.426754467709866,40.879,42.0
165.65740704536438,31.201610747480427,40.879,42.0
167.21814823150635,31.551528921413457,40.879,42.0
168.77639818191528,31.90088856029514,40.879,42.0
170.40975213050842,32.26708651556972,40.879,42.0
171.9820191860199,33.15317906370329,40.847,42.0
173.89369201660156,33.90572377452288,40.814,42.0
175.3473219871521,37.391721894637264,40.621,42.0
176.922208070755,37.0316333920793,40.589,42.0
178.39328694343567,36.696640220160035,40.621,42.0
179.85651111602783,36.76966510827713,40.653,42.0
181.9607651233673,38.52632650993276,40.589,42.0
